grey,79,0.074,0.519
rectangular,170,-0.073,0.347
blue,1072,-0.098,0.001
sky,6721,-0.044,0.0
enormous,43,0.178,0.254
triangle,1055,-0.043,0.167
overhead,380,0.167,0.001
fireball,665,0.016,0.687
atmosphere,90,0.1,0.347
sunset,50,0.208,0.146
small,786,-0.018,0.606
object,5767,0.015,0.257
home,524,0.053,0.229
school,77,0.017,0.884
day,304,0.067,0.242
clear,569,-0.083,0.049
disk,397,-0.102,0.042
red,2348,0.022,0.285
saucer,300,-0.101,0.081
humming,37,0.039,0.821
deep,35,0.156,0.371
sound,936,-0.034,0.295
slow,503,0.069,0.123
triangular,1060,0.038,0.218
shape,1249,0.069,0.015
light,6806,-0.021,0.077
pattern,283,0.11,0.064
giant,57,0.143,0.29
bright,3938,0.02,0.217
room,84,0.145,0.188
ocean,146,0.217,0.008
white,2790,-0.032,0.093
night,1602,0.039,0.122
disc,279,-0.02,0.739
girlfriend,71,-0.048,0.691
thing,195,0.03,0.673
power,92,0.066,0.529
plant,31,0.193,0.299
mountain,126,0.124,0.166
ufo,416,-0.04,0.42
husband,140,0.093,0.275
bottom,265,0.121,0.049
silver,396,0.031,0.536
color,549,0.04,0.347
couple,81,-0.032,0.775
shot,127,-0.098,0.273
moon,416,-0.062,0.208
large,2030,-0.081,0.0
craft,2245,-0.042,0.047
w,45,0.273,0.07
edge,72,0.181,0.128
ground,474,0.006,0.897
silent,563,-0.045,0.282
chevron,98,0.264,0.009
aircraft,567,0.004,0.915
flight,135,0.192,0.026
landing,33,0.186,0.299
opposite,46,0.316,0.032
direction,485,0.096,0.034
huge,461,0.083,0.076
area,574,0.009,0.826
north,751,0.044,0.23
black,642,-0.021,0.592
old,122,0.135,0.139
hill,67,0.274,0.025
house,576,-0.032,0.439
angle,168,0.07,0.367
work,156,0.052,0.522
noise,394,-0.098,0.052
outside,205,-0.155,0.027
window,283,0.035,0.561
top,256,0.155,0.013
side,432,0.089,0.063
highway,148,0.012,0.887
month,30,0.09,0.635
car,455,0.034,0.468
circle,374,0.073,0.159
formation,1067,0.022,0.467
way,280,0.005,0.932
right,283,-0.009,0.876
metallic,191,0.063,0.39
perfect,85,-0.069,0.533
unidentified,98,-0.03,0.773
glowing,237,0.067,0.306
orbs,62,0.168,0.191
low,882,-0.002,0.95
roof,44,0.087,0.577
backyard,85,0.235,0.031
star,1168,0.007,0.8
stop,73,0.184,0.119
altitude,434,0.013,0.781
ball,796,-0.039,0.276
dull,80,-0.069,0.543
encounter,79,-0.048,0.672
minute,131,0.047,0.591
oval,479,0.066,0.149
horizon,496,-0.074,0.101
south,614,-0.14,0.001
neighbor,39,0.154,0.348
field,239,0.007,0.911
strange,943,-0.048,0.14
town,141,0.113,0.181
family,96,0.18,0.079
same,438,-0.011,0.817
yellow,409,0.015,0.77
flash,419,-0.086,0.079
green,1437,0.051,0.054
cigar,301,0.026,0.657
level,163,-0.216,0.006
late,89,0.099,0.356
greenish,89,0.143,0.18
great,93,-0.12,0.251
speed,1099,0.01,0.736
time,583,0.083,0.045
east,628,-0.001,0.976
early,161,0.115,0.146
forth,78,0.17,0.138
tree,259,0.147,0.018
line,412,-0.018,0.719
dark,390,0.037,0.471
obj,280,0.032,0.594
min,159,0.168,0.034
deg,69,0.148,0.226
sec,97,0.053,0.607
local,102,0.01,0.919
cloud,308,0.031,0.585
sister,62,0.109,0.397
street,89,0.129,0.227
part,71,0.229,0.055
big,357,-0.077,0.148
bedroom,64,0.041,0.746
round,656,-0.015,0.711
several,411,0.016,0.746
fast,354,-0.023,0.667
orange,1241,-0.018,0.528
ship,203,-0.049,0.486
end,112,-0.017,0.856
lot,71,0.002,0.984
unknown,127,-0.088,0.324
witness,335,-0.116,0.035
yes,97,-0.035,0.733
west,461,-0.065,0.161
city,192,-0.021,0.772
long,227,0.049,0.464
saw,103,-0.06,0.549
eye,144,0.125,0.136
other,629,-0.01,0.801
military,150,0.075,0.36
base,61,0.142,0.275
straight,199,0.036,0.613
tail,345,-0.115,0.033
bluish,64,0.134,0.291
possible,451,-0.023,0.624
hoax,54,0.235,0.087
sighting,648,-0.034,0.39
life,46,0.14,0.354
close,153,0.064,0.434
country,37,0.17,0.313
road,241,0.076,0.24
county,73,0.027,0.818
report,319,0.139,0.013
air,337,0.102,0.062
station,37,0.23,0.171
circular,600,-0.078,0.057
cross,53,0.411,0.002
different,274,0.08,0.189
anonymous,33,0.408,0.018
hovering,348,0.021,0.693
water,88,-0.044,0.684
space,222,-0.114,0.09
result,30,-0.483,0.007
site,62,0.103,0.426
fly,110,0.066,0.493
head,153,0.076,0.352
broad,91,0.053,0.618
daylight,223,0.022,0.743
summer,93,-0.161,0.124
second,227,-0.035,0.596
seperate,39,0.228,0.162
approx,222,0.0,0.995
view,132,0.011,0.902
underneath,37,0.151,0.372
m,34,0.15,0.397
shoot,39,0.035,0.835
degree,155,0.081,0.319
sight,214,0.029,0.672
similar,144,0.022,0.798
loud,135,0.072,0.404
main,36,0.075,0.663
middle,179,0.137,0.066
high,1249,0.007,0.792
pool,33,0.188,0.295
move,112,0.042,0.662
lit,81,-0.011,0.921
airport,115,0.003,0.976
dog,114,-0.044,0.644
front,344,-0.03,0.579
walk,38,0.265,0.107
solid,119,0.096,0.299
mass,37,-0.175,0.3
turn,131,0.179,0.041
midnight,55,0.171,0.212
left,135,0.072,0.407
friend,380,0.038,0.466
event,93,-0.014,0.891
pm,187,-0.015,0.84
b,37,0.114,0.501
experience,42,0.328,0.034
farm,42,0.299,0.054
ft,127,0.025,0.777
diameter,63,-0.095,0.459
few,217,0.043,0.524
gold,90,0.299,0.004
river,60,0.206,0.115
flew,67,0.108,0.382
fire,258,0.09,0.151
deck,66,0.17,0.173
mph,67,0.192,0.12
neighborhood,68,0.142,0.247
